inter_id,user_id,item_id,timestamp,rating,preference,emo_pre_valence,emo_pre_arousal,emo_post_valence,emo_post_arousal,duration,rec_type
21,11,977,1649251477,4,65,0.802,-0.23675,0.8159287106655527,-0.2478418267891952,370,Situ-MT_c
22,26,361,1649252732,4,60,0.6165,0.56775,0.18546365914786966,-0.4223057644110276,280,Situ-MT_c
23,14,43,1649253138,4,76,0.01125,-0.518,0.2756892230576441,-0.2478418267891952,762,Situ-MT
24,21,43,1649253178,3,59,0.59875,-0.55975,0.8047897521581732,-0.5012531328320802,248,Situ-MT
25,26,52,1649254962,5,92,0.89225,0.124,0.493734335839599,-0.5225563909774437,222,Random
26,21,603,1649255339,4,74,0.20600000000000002,-0.78525,0.5847953216374269,-0.8131439710387078,242,Situ-MT_c
27,14,192,1649256056,3,42,0.245,-0.45399999999999996,0.2812587023113339,0.02227791701475912,411,Random
28,11,243,1649257102,2,21,0.841,0.3565,0.7490949596212754,0.12252854358117515,189,Random
29,21,739,1649258929,3,47,-0.4735,-0.5515,-0.1921470342522974,-0.5569479253689781,150,Situ-MT
30,14,23,1649259697,4,59,0.02225,-0.37875,0.2450570871623503,-0.18379281537176276,251,Situ-MT_c
31,26,276,1649260134,4,78,0.589,-0.56775,0.5162907268170426,-0.4949874686716792,254,Situ-MT
32,14,258,1649290880,2,36,-0.2145,-0.46225,-0.303536619326093,-0.11974380395433025,459,Random
33,26,216,1649291620,4,69,0.797,0.01625,0.6691729323308271,-0.2669172932330827,219,Situ-MT_c
34,26,807,1649294835,2,38,0.6415,-0.55775,0.2832080200501253,-0.3771929824561404,223,Random
35,21,297,1649301875,4,69,-0.259,-0.62925,0.5096073517126148,-0.5987190197716513,194,Random
36,26,168,1649303475,2,26,0.5965,-0.4925,0.04260651629072682,-0.4598997493734336,225,Situ-MT
37,26,414,1649306056,5,99,0.5815,-0.53,0.19548872180451127,-0.4348370927318296,321,Situ-MT_c
38,14,739,1649308552,3,55,0.7879999999999999,0.26175,0.6794764689501531,0.12252854358117515,205,Situ-MT
39,21,862,1649309395,3,55,-0.19225,-0.7295,-0.34530771372876634,-0.7490949596212754,153,Situ-MT
40,26,680,1649311234,2,32,0.85975,0.0565,0.16541353383458646,-0.8659147869674185,222,Situ-MT
41,11,43,1649313097,2,37,0.62375,0.1365,0.7769423558897243,-0.052910052910052914,240,Situ-MT
42,21,916,1649313269,4,67,0.33975,-0.63775,0.5123920913394597,-0.5959342801448064,257,Situ-MT_c
43,14,480,1649316660,4,68,0.013999999999999999,-0.2645,0.2199944305207463,0.04455583402951824,226,Situ-MT_c
44,26,639,1649317541,3,51,0.89725,0.1015,0.531328320802005,-0.026315789473684213,212,Random
45,11,57,1649320301,3,52,0.44,-0.529,0.5430242272347535,-0.3091060985797829,268,Situ-MT_c
46,26,925,1649322527,2,30,0.7545,0.0615,0.3533834586466165,-0.2418546365914787,384,Situ-MT_c
47,21,46,1649326564,4,68,-0.10025,0.58475,0.09746588693957113,-0.10025062656641603,211,Random
48,11,862,1649326798,2,30,0.426,-0.4985,0.4817599554441659,-0.7685881370091896,174,Situ-MT
49,26,74,1649327092,2,33,0.5665,0.61025,0.10776942355889724,0.10401002506265664,225,Random
50,21,333,1649330712,2,34,0.80475,0.15875,0.8159287106655527,0.2005012531328321,163,Situ-MT
51,11,504,1649331325,2,22,0.53475,-0.21175,0.5680868838763575,-0.3007518796992481,295,Random
52,14,743,1649331804,2,33,0.284,0.5429999999999999,0.2756892230576441,0.6488443330548593,177,Random
53,26,411,1649335278,3,52,0.92975,0.109,0.5939849624060151,-0.4849624060150376,761,Situ-MT
54,14,719,1649336204,4,69,-0.11699999999999999,0.607,0.047340573656363134,0.3675856307435255,210,Situ-MT_c
55,26,266,1649338963,4,71,0.604,0.6805,0.7218045112781954,-0.06390977443609024,203,Random
56,21,440,1649339712,2,31,0.31475,0.1365,0.5653021442495126,0.4093567251461988,164,Random
57,26,609,1649341291,4,67,0.619,-0.515,0.5889724310776943,0.5175438596491229,203,Situ-MT_c
58,14,862,1649341467,2,35,-0.635,0.91625,-0.5959342801448064,0.9217488164856584,271,Situ-MT
59,21,962,1649341675,3,57,0.36200000000000004,0.33425,0.4901141743247006,0.6209969367864104,208,Situ-MT_c
60,11,822,1649342846,2,11,0.88275,0.32025,0.6850459482038429,-0.3118908382066277,227,Situ-MT
61,26,726,1649343649,4,81,0.51875,-0.02375,0.5964912280701754,0.06641604010025065,223,Random
62,21,99,1649345550,2,22,0.53475,0.20325,0.14202172096908938,0.24227234753550544,257,Random
63,26,839,1649345881,4,69,0.6415,-0.00125,0.2406015037593985,-0.4072681704260652,200,Situ-MT
64,11,397,1649347199,3,57,0.841,-0.5765,0.8270676691729323,-0.4399888610414926,103,Situ-MT_c
65,14,649,1649376320,5,90,0.2925,0.3175,0.5207463102199944,0.3230297967140075,206,Situ-MT_c
66,26,723,1649378500,2,35,0.4135,-0.59525,0.4185463659147869,-0.11904761904761905,255,Situ-MT_c
67,11,911,1649382599,1,8,0.66825,0.1865,0.6599832915622389,-0.3815093288777499,228,Random
68,26,652,1649384748,4,63,0.604,-0.5175,0.2431077694235589,-0.2318295739348371,525,Random
69,26,883,1649387924,4,80,0.65175,-0.4825,0.5238095238095238,0.5902255639097744,251,Situ-MT_c
70,11,680,1649389046,5,97,0.557,0.415,0.7017543859649122,-0.3731551099972155,132,Situ-MT
71,21,996,1649390075,4,87,-0.23125,0.58475,-0.23391812865497075,0.2506265664160401,143,Situ-MT
72,26,591,1649391088,4,78,0.564,-0.5175,0.2581453634085213,-0.4924812030075188,298,Situ-MT
73,19,835,1649391141,4,66,0.32575,0.10025,0.4511278195488722,0.19214703425229746,317,Situ-MT_c
74,14,506,1649391800,1,0,0.4735,0.053,0.2506265664160401,0.303536619326093,423,Random
75,11,439,1649393270,4,73,0.57375,0.259,0.4873294346978557,0.31746031746031744,253,Situ-MT_c
76,26,372,1649397448,2,34,0.436,-0.2845,0.5939849624060151,-0.2744360902255639,280,Situ-MT_c
77,19,87,1649398779,4,61,0.37325,0.28675,0.5346700083542189,0.4873294346978559,247,Random
78,11,411,1649399828,5,90,0.557,-0.518,0.50682261208577,-0.403787245892509,724,Situ-MT
79,14,680,1649400855,5,82,-0.08625,-0.32025,0.4372041214146477,-0.32024505708716233,362,Situ-MT
80,21,70,1649404005,4,68,0.4735,0.5095,0.7296017822333611,0.3369534948482317,214,Situ-MT_c
81,26,268,1649405039,4,79,0.69675,-0.01375,0.5338345864661654,-0.5025062656641607,199,Random
82,14,603,1649409379,4,73,-0.20325,-0.03075,-0.0278473962684489,0.15594541910331386,221,Situ-MT_c
83,21,361,1649412607,4,63,0.568,-0.4705,0.2645502645502645,-0.5569479253689782,202,Situ-MT_c
84,14,333,1649413810,5,91,0.0335,0.30625,0.1615148983570036,0.2756892230576441,278,Situ-MT
85,11,480,1649416909,4,73,0.66275,-0.26725,0.7156780840991367,-0.12531328320802007,206,Situ-MT_c
86,19,375,1649417642,5,97,0.518,0.4205,0.6683375104427736,0.5820105820105822,252,Situ-MT
87,21,276,1649417895,4,81,0.4705,-0.2925,0.8075744917850181,-0.4984683932052353,126,Situ-MT
88,19,791,1649420024,3,34,0.54025,0.2785,0.5402394876079086,0.2394876079086605,243,Random
89,19,977,1649421702,2,23,0.504,0.3425,0.4901141743247006,0.2199944305207463,236,Situ-MT_c
90,26,812,1649423207,3,53,0.50625,-0.54,0.3458646616541353,-0.4799498746867168,206,Situ-MT_c
91,11,996,1649424587,3,25,0.70175,-0.401,0.5012531328320802,-0.3480924533556113,228,Situ-MT
92,19,342,1649424814,3,46,0.5429999999999999,0.22825,0.5123920913394597,0.1921470342522974,370,Random
93,26,469,1649425334,2,31,0.4435,-0.48,0.43609022556390975,-0.5726817042606517,241,Situ-MT
94,14,814,1649427062,4,60,0.02775,-0.39275,0.2812587023113339,0.1448064605959343,295,Random
95,21,158,1649427376,3,53,0.273,-0.6545,0.08911166805903648,-0.6599832915622389,207,Situ-MT_c
96,19,43,1649428406,4,70,0.5235,0.15875,0.5346700083542189,0.2589807852965749,333,Situ-MT
97,26,786,1649429358,3,52,0.50625,-0.56275,0.481203007518797,-0.5125313283208021,208,Random
98,19,397,1649430241,3,52,0.50675,0.12525,0.5235310498468393,0.3230297967140074,203,Situ-MT_c
99,14,168,1649430717,5,89,-0.27575,0.52625,-0.07797270955165693,0.5068226120857722,329,Situ-MT
100,26,555,1649431564,3,41,0.604,-0.55275,0.5213032581453634,-0.6378446115288221,223,Situ-MT
101,11,206,1649431799,4,66,0.816,0.4065,0.6961849067112225,0.3620161514898357,314,Situ-MT_c
102,21,275,1649432269,2,18,-0.27,-0.59875,-0.2478418267891952,-0.4984683932052353,243,Random
103,19,148,1649433140,1,25,0.35100000000000003,0.01125,0.17543859649122806,0.1921470342522974,215,Random
104,26,499,1649433597,1,4,0.589,-0.58525,0.5614035087719298,-0.5927318295739349,146,Situ-MT_c
105,26,182,1649466913,4,74,0.11525,-0.62775,0.2606516290726817,-0.6203007518796995,238,Random
106,11,276,1649467780,2,24,0.70725,0.23125,0.7658033973823447,0.3313840155945419,165,Situ-MT
107,21,680,1649468733,4,69,0.52625,-0.46775,0.5847953216374269,-0.7602339181286549,240,Situ-MT
108,26,795,1649469989,4,67,0.28075,-0.53,0.5463659147869674,-0.5200501253132834,879,Situ-MT
109,19,57,1649471564,3,51,0.1615,0.11425,0.3063213589529379,0.3007518796992481,325,Situ-MT_c
110,26,373,1649472961,4,70,0.5589999999999999,-0.485,0.5488721804511278,-0.5175438596491229,309,Random
111,9,375,1649473549,3,55,-0.26725,-0.532,-0.4399888610414926,-0.1615148983570036,306,Situ-MT
112,21,216,1649473656,3,53,0.5875,-0.36475,0.7908660540239487,-0.478975215817321,241,Situ-MT_c
113,11,23,1649475745,2,25,0.98575,0.77425,0.935672514619883,0.7240323029796714,118,Situ-MT_c
114,21,372,1649477187,2,30,0.86325,-0.26175,0.3675856307435255,-0.2896129211918685,198,Situ-MT
115,26,233,1649478265,4,61,0.5665,-0.535,0.531328320802005,-0.4398496240601504,215,Situ-MT_c
116,19,862,1649479724,3,48,0.2535,0.11425,0.2450570871623503,0.15873015873015875,172,Situ-MT
117,14,916,1649480294,4,59,-0.28675,-0.0975,-0.01113895850737956,-0.15594541910331386,199,Situ-MT_c
118,9,562,1649480345,4,71,0.4455,-0.4845,0.6655527708159287,-0.1448064605959343,210,Random
119,26,504,1649482347,3,49,0.5565,-0.59775,0.4786967418546366,-0.5902255639097744,203,Random
120,19,439,1649483438,3,39,0.45125,-0.22,0.3369534948482317,-0.0807574491785018,175,Situ-MT_c
121,26,269,1649484773,3,52,0.5589999999999999,-0.5425,0.4761904761904762,-0.5250626566416041,235,Situ-MT
122,9,835,1649486653,5,88,0.50675,-0.4595,0.6739069896964633,-0.8214981899192447,245,Situ-MT_c
123,26,709,1649487201,2,29,0.52125,-0.56775,0.456140350877193,-0.5325814536340854,224,Situ-MT_c
124,21,58,1649487425,4,68,-0.195,0.16975,0.0278473962684489,0.4372041214146477,236,Random
125,19,344,1649487764,3,63,0.33425,-0.37025,0.3675856307435255,-0.15873015873015875,263,Random
126,26,418,1649489728,4,73,0.49375,0.40475,0.5238095238095238,0.5601503759398496,317,Random
127,9,731,1649491493,3,44,0.28675,0.3815,0.019493177387914232,-0.453912559175717,262,Random
128,26,170,1649492206,2,32,0.5565,-0.703,0.5338345864661654,-0.6278195488721806,286,Situ-MT_c
129,21,411,1649495508,5,59,-0.20875,-0.63225,0.3842940685045948,-0.5764411027568924,182,Situ-MT
130,26,440,1649496958,4,61,0.5589999999999999,-0.04375,0.5488721804511278,-0.35213032581453635,279,Situ-MT
131,9,397,1649498446,3,43,0.79925,0.2005,-0.14480646059593427,0.3146755778334725,226,Situ-MT
132,19,739,1649499017,4,74,0.42325,0.3425,0.5430242272347535,0.3341687552213868,514,Situ-MT
133,26,239,1649499362,4,68,0.6065,-0.55275,0.4962406015037594,-0.4223057644110276,204,Situ-MT_c
134,14,245,1649499899,4,56,0.57075,0.529,0.5430242272347535,0.20328599275967696,179,Random
135,11,168,1649502199,4,66,0.83825,-0.52075,0.7296017822333611,-0.6015037593984964,305,Situ-MT
136,26,67,1649502252,4,70,0.579,-0.52,0.5388471177944862,-0.4849624060150376,201,Random
137,9,977,1649505310,2,31,-0.22825,-0.69625,-0.3508771929824561,-0.31746031746031744,323,Situ-MT_c
138,26,14,1649508674,4,86,0.5765,-0.48,0.631578947368421,-0.4398496240601504,236,Situ-MT
139,14,532,1649508713,3,43,-0.128,0.5429999999999999,0.16986911723753828,0.4928989139515456,206,Random
140,11,361,1649509269,2,15,0.54575,-0.35925,0.5040378724589251,-0.4093567251461988,284,Situ-MT
141,21,761,1649509655,4,66,0.74625,-0.30075,0.5792258423837371,-0.4901141743247007,139,Random
142,26,97,1649514194,5,100,0.5615,-0.44975,0.5664160401002506,-0.5025062656641606,200,Situ-MT_c
143,21,591,1649515850,5,88,0.013999999999999999,-0.7685,0.21442495126705646,-0.6766917293233085,147,Situ-MT
144,11,434,1649516004,1,6,0.63775,0.15875,0.657198551935394,0.21999443052074635,140,Situ-MT_c
145,26,818,1649516431,2,30,0.50125,-0.56775,0.5588972431077694,-0.4949874686716792,284,Situ-MT
146,19,23,1649517093,3,49,-0.2535,0.19225,-0.2478418267891952,0.1169590643274854,209,Situ-MT_c
147,26,26,1649518855,2,33,0.6165,-0.6629999999999999,0.6115288220551378,-0.387218045112782,234,Random
148,11,591,1649519599,2,18,0.78525,-0.4205,0.6544138123085491,-0.4678362573099416,167,Situ-MT
149,14,70,1649519912,4,66,0.44825,-0.36475,0.3926482873851295,-0.05012531328320802,303,Situ-MT_c
150,9,57,1649519998,2,30,0.752,0.2925,-0.05847953216374269,0.17822333611807295,220,Situ-MT_c
151,26,673,1649551345,3,53,0.5915,-0.56525,0.568922305764411,-0.5200501253132834,346,Situ-MT
152,14,604,1649554182,2,26,0.3955,0.07525,0.12531328320802004,0.4344193817878028,155,Random
153,11,372,1649554457,1,6,0.6459999999999999,-0.41225,0.4845446950710108,-0.3982177666388194,271,Situ-MT_c
154,9,43,1649555187,5,80,-0.23125,0.55975,0.07797270955165693,0.00835421888053467,230,Situ-MT
155,21,300,1649556222,3,47,0.39825,-0.99975,0.3675856307435255,-0.40100250626566414,154,Random
156,11,440,1649556535,3,47,0.71575,-0.245,0.5123920913394597,-0.15037593984962405,238,Situ-MT
157,26,388,1649556630,4,69,0.5715,-0.48,0.5889724310776943,-0.4824561403508772,341,Situ-MT_c
158,26,24,1649559339,4,82,0.5589999999999999,-0.42475,0.5614035087719298,-0.5150375939849624,253,Random
159,14,996,1649560981,4,82,0.2395,-0.22275,-0.2701197438039543,-0.23670286828181564,165,Situ-MT
160,26,934,1649561652,3,59,0.52375,-0.63025,0.4862155388471178,-0.5601503759398496,306,Situ-MT
161,9,439,1649563916,4,75,0.518,0.4705,0.8159287106655527,0.5541631857421331,307,Situ-MT_c
162,26,621,1649564676,4,69,0.441,-0.6805,0.506265664160401,-0.5025062656641607,425,Random
163,19,361,1649566296,3,46,-0.2535,-0.078,-0.4065719855193539,0.04177109440267336,209,Situ-MT
164,21,609,1649566568,2,36,-0.21725,-0.635,-0.0278473962684489,-0.6070732386521861,345,Situ-MT_c
165,26,955,1649567491,4,57,0.54375,-0.59025,0.5413533834586466,-0.4849624060150376,422,Situ-MT_c
166,9,85,1649567878,1,8,0.66,-0.18375,-0.22834864940128094,-0.5736563631300473,228,Random
167,26,578,1649569745,3,52,0.6115,-0.57275,0.5714285714285714,-0.4899749373433584,207,Random
168,11,719,1649571091,2,23,0.57925,-0.23675,0.4845446950710108,-0.3258145363408521,211,Situ-MT_c
169,19,223,1649571729,3,56,-0.46225,-0.23125,-0.3508771929824561,-0.12531328320802007,303,Random
170,21,170,1649571795,3,57,0.5095,-0.529,0.4566972988025619,-0.7713728766360346,310,Random
171,14,414,1649572922,3,54,-0.01125,-0.273,0.0,0.0135,202,Situ-MT_c
172,9,168,1649574548,3,43,0.22,-0.465,0.02506265664160401,-0.6432748538011696,310,Situ-MT
173,26,282,1649574725,4,62,0.49375,-0.61525,0.5388471177944862,-0.5676691729323309,235,Situ-MT_c
174,11,333,1649575549,3,48,0.3035,-0.3035,0.4177109440267335,-0.11974380395433025,174,Situ-MT
175,21,469,1649578791,4,80,-0.309,-0.6459999999999999,-0.5012531328320802,-0.7184628237259816,329,Situ-MT
176,26,790,1649579294,4,70,0.65925,-0.5125,0.5664160401002506,-0.4899749373433584,263,Situ-MT_c
177,19,996,1649579855,3,58,-0.20600000000000002,-0.30075,-0.2951824004455583,-0.3035366193260932,303,Situ-MT
178,26,727,1649581580,4,72,0.53375,-0.52,0.6240601503759399,-0.5175438596491229,199,Situ-MT
179,21,925,1649582241,2,33,-0.22825,-0.607,-0.0556947925368978,-0.7184628237259816,122,Situ-MT_c
180,26,360,1649583794,4,76,0.53625,-0.55275,0.4887218045112782,-0.5200501253132834,212,Situ-MT_c
181,9,23,1649584361,3,45,0.4595,-0.33975,0.2840434419381788,-0.5430242272347536,293,Situ-MT_c
182,21,565,1649586005,3,45,0.55425,-0.5625,0.7797270955165692,-0.6126427179058759,264,Random
183,26,384,1649586415,2,17,0.6165,-0.64775,0.6090225563909775,-0.5426065162907269,605,Random
184,19,886,1649588068,5,88,-0.07525,-0.2255,0.08911166805903648,0.052910052910052914,208,Situ-MT_c
185,11,603,1649588455,4,68,0.10300000000000001,0.44,0.3564466722361459,-0.2673350041771094,121,Situ-MT_c
186,21,723,1649588605,3,43,0.77125,0.078,0.8883319409635199,-0.29239766081871343,145,Situ-MT_c
187,26,848,1649588667,2,45,0.52125,-0.545,0.5463659147869674,-0.5150375939849624,209,Situ-MT
188,9,822,1649589339,4,76,-0.23399999999999999,-0.8909999999999999,0.2979671400724032,-0.4232804232804234,359,Situ-MT
189,26,117,1649591436,4,67,0.569,-0.5125,0.5639097744360902,-0.5075187969924814,358,Situ-MT_c
190,26,6,1649593651,4,70,0.564,-0.505,0.3809523809523809,-0.4624060150375942,208,Situ-MT
191,26,920,1649596712,2,29,0.46375,-0.535,0.44360902255639095,-0.4047619047619048,296,Random
192,9,759,1649597821,4,66,0.8745,0.128,0.8465608465608465,0.21999443052074635,169,Random
193,14,900,1649598565,2,38,0.131,-0.3315,0.01392369813422445,-0.04177109440267336,173,Random
194,21,757,1649598642,4,83,0.76575,-0.013999999999999999,0.7964355332776385,-0.478975215817321,207,Situ-MT
195,9,739,1649600186,4,79,0.387,0.55975,0.4399888610414926,0.2840434419381789,184,Situ-MT
196,19,465,1649600564,3,59,0.245,0.4595,0.29239766081871343,0.4455583402951824,208,Random
197,14,372,1649600999,2,17,0.11699999999999999,-0.245,-0.18100807574491784,0.03341687552213868,272,Situ-MT_c
198,11,158,1649601071,2,23,0.7825,0.309,0.5987190197716513,-0.18936229462545304,274,Situ-MT
199,14,276,1649603005,4,79,0.35925,-0.195,0.04455583402951824,0.4427736006683395,182,Situ-MT
200,9,886,1649603632,4,74,0.0695,0.8465,0.5513784461152882,0.10860484544695073,383,Situ-MT_c
201,21,883,1649604417,3,68,0.7240000000000001,-0.078,0.6766917293233082,0.3703703703703704,234,Situ-MT_c
202,19,276,1649604483,4,71,0.1115,0.557,0.3091060985797828,0.3787245892509068,183,Situ-MT
203,19,752,1649605823,2,24,0.312,0.16699999999999998,0.07797270955165693,0.31746031746031744,188,Random
204,9,905,1649606528,3,56,0.44,-0.44825,0.4845446950710108,0.17822333611807295,186,Random
205,14,962,1649635785,3,49,0.28675,-0.0445,0.08911166805903648,0.3230297967140074,290,Situ-MT_c
206,26,490,1649637597,4,67,0.54875,-0.5175,0.4586466165413534,-0.2694235588972431,272,Situ-MT
207,21,780,1649638714,3,60,-0.13925,-0.529,0.15873015873015872,-0.6683375104427736,246,Random
208,11,170,1649640566,4,68,0.52625,-0.3315,0.5291005291005291,-0.5068226120857717,241,Situ-MT_c
209,9,333,1649640642,5,88,-0.28125,0.18925,0.1392369813422445,-0.4204956836535784,279,Situ-MT
210,26,541,1649642395,4,65,0.0,0.0,0.3734335839598997,0.5877192982456141,378,Random
211,26,523,1649645208,4,84,0.5615,0.58525,0.2706766917293233,0.5451127819548874,710,Situ-MT
212,21,839,1649647077,2,32,-0.2005,0.23675,-0.328599275967697,-0.2450570871623503,207,Situ-MT
213,11,269,1649647714,3,48,0.15875,0.32575,0.2896129211918685,-0.4455583402951824,560,Situ-MT
214,26,598,1649648084,4,70,0.4235,0.41975,0.5463659147869674,-0.5827067669172934,786,Random
215,26,667,1649650323,4,86,0.32575,0.37725,0.3558897243107769,0.2593984962406017,216,Situ-MT_c
216,21,812,1649651257,2,18,-0.12525,-0.44,-0.2951824004455583,-0.5597326649958229,202,Situ-MT_c
217,9,329,1649652230,4,66,-0.37325,-0.6265,0.2450570871623503,-0.5235310498468394,288,Random
218,26,741,1649652654,4,69,0.446,0.02875,0.3884711779448621,0.03132832080200501,312,Random
219,11,839,1649653769,2,32,0.28675,-0.57925,0.4177109440267335,-0.5569479253689781,120,Situ-MT
220,9,480,1649653894,4,75,0.0335,-0.62375,0.15037593984962405,-0.4344193817878028,352,Situ-MT_c
221,26,223,1649656850,4,82,0.65925,-0.5175,0.2807017543859649,0.10651629072681704,254,Situ-MT
222,19,480,1649659261,2,39,0.4705,0.36200000000000004,0.3592314118629908,0.30910609857978283,159,Situ-MT_c
223,11,916,1649659665,4,70,-0.092,0.30075,0.07797270955165693,-0.4678362573099417,574,Situ-MT_c
224,21,204,1649661056,4,75,0.20875,-0.54025,0.4706209969367864,-0.4956836535783904,254,Situ-MT
225,9,104,1649662094,3,47,0.635,0.0195,0.4288499025341129,0.28682818156502365,217,Random
226,26,518,1649663257,4,77,0.5765,0.02875,0.5639097744360902,0.011278195488721804,296,Situ-MT_c
227,26,878,1649665746,4,75,0.51375,0.02875,0.5614035087719298,0.30701754385964913,483,Random
228,26,796,1649668241,4,68,0.5915,-0.51,0.5739348370927319,0.4749373433583962,338,Situ-MT_c
229,21,504,1649670393,1,9,-0.1865,0.25625,-0.07240323029796714,0.4901141743247007,182,Random
230,9,862,1649670422,5,80,0.529,-0.3565,0.6404901141743247,-0.2756892230576441,208,Situ-MT
231,26,149,1649671531,4,84,0.50625,-0.505,0.5263157894736842,-0.4974937343358396,217,Situ-MT
232,19,908,1649672299,4,58,0.20325,0.12525,0.3508771929824561,0.2339181286549709,273,Random
233,19,680,1649674948,5,80,0.29525,-0.08625,0.2506265664160401,0.09746588693957116,367,Situ-MT
234,14,312,1649675587,3,53,-0.48175,-0.298,-0.23113338902812586,-0.13923698134224466,308,Random
235,26,951,1649678945,2,22,0.5715,-0.55525,0.5839598997493735,-0.5451127819548873,342,Random
236,14,411,1649679319,4,71,0.2645,0.03625,0.3982177666388193,-0.16429963798384867,241,Situ-MT
237,21,555,1649681385,4,65,0.78525,0.08900000000000001,0.8939014202172096,0.3258145363408521,238,Situ-MT
238,11,723,1649681400,1,6,0.10300000000000001,-0.7435,0.1364522417153996,-0.6906154274575327,283,Situ-MT_c
239,9,206,1649681750,3,33,-0.1755,0.3285,-0.04177109440267335,0.5625174046226679,251,Situ-MT_c
240,14,158,1649682301,3,47,0.5515,0.1365,0.3620161514898357,0.016708437761069343,309,Situ-MT_c
241,14,591,1649684401,4,65,-0.03075,-0.3675,0.4288499025341129,-0.3508771929824561,162,Situ-MT
242,11,757,1649685478,5,70,0.71,-0.19225,0.6377053745474798,-0.3341687552213868,165,Situ-MT
243,21,37,1649686755,3,49,0.85775,0.10575,0.8020050125313283,-0.34530771372876634,198,Situ-MT_c
244,14,142,1649687578,2,38,0.06125,-0.2895,0.052910052910052914,0.1615148983570036,222,Random
245,9,915,1649687673,4,46,0.45675,-0.4985,0.4594820384294068,-0.7852965747702589,211,Random
246,19,422,1649689222,4,54,0.273,-0.3815,0.29239766081871343,-0.13923698134224466,164,Random
247,21,956,1649690576,3,55,0.82425,-0.2005,0.8298524087997772,0.2450570871623503,161,Random
248,19,206,1649691166,3,50,0.21175,-0.49575,0.2561960456697299,-0.07518796992481204,269,Situ-MT_c
249,14,619,1649691616,5,98,0.35375,-0.3315,0.5263157894736842,-0.33138401559454195,380,Situ-MT
250,19,411,1649692556,4,79,0.1615,-0.50125,0.2589807852965748,-0.2506265664160401,208,Situ-MT
251,21,168,1649721663,4,81,-0.16425,0.19225,-0.15037593984962405,0.3508771929824561,260,Situ-MT
252,21,409,1649724576,3,41,-0.3175,0.23125,-0.23391812865497075,0.019493177387914232,196,Random
253,11,414,1649728055,4,79,0.19775,-0.20600000000000002,0.2840434419381788,-0.4344193817878029,742,Situ-MT_c
254,21,499,1649733671,3,54,-0.245,0.61825,-0.09746588693957113,0.2729044834307992,193,Situ-MT_c
255,11,883,1649736728,5,86,0.20600000000000002,-0.36200000000000004,0.5207463102199944,-0.1169590643274854,576,Situ-MT_c
256,19,649,1649737013,4,61,-0.57075,-0.23125,-0.6460595934280144,-0.3731551099972154,245,Situ-MT_c
257,14,925,1649738068,3,68,0.34525,-0.32299999999999995,0.5931495405179615,0.3063213589529379,253,Situ-MT_c
258,21,442,1649740060,2,32,-0.376,-0.59025,0.02227791701475912,-0.5625174046226679,179,Random
259,14,361,1649740624,3,52,0.4205,-0.3285,0.3926482873851295,0.4734057365636314,214,Random
260,11,555,1649741231,4,65,0.59325,-0.24775,0.5012531328320802,-0.36480089111668057,584,Situ-MT
261,11,70,1649745637,4,70,0.11975,0.42875,0.20050125313283207,-0.14202172096908938,370,Situ-MT_c
